City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Sung Noen,TH,93.29,broken clouds,14.8992,101.8207,Ploynamkang Resort
300,Touros,BR,78.93,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
305,Gushi,CN,62.53,overcast clouds,34.6425,109.5843,Wansheng Yuan Hotel
306,San Policarpo,PH,83.66,broken clouds,12.1791,125.5072,Agapita M. Nicart
309,Bengkulu,ID,85.86,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
311,Iranshahr,IR,77.34,clear sky,27.2025,60.6848,نیک سرشت
312,Bhainsa,IN,94.96,clear sky,26.9548,76.9012,Rizwan pathan
313,Itamarandiba,BR,62.74,broken clouds,-17.8572,-42.8589,Aricanduva Hotel
314,Xapuri,BR,72.12,broken clouds,-10.6517,-68.5044,Pousada dos Chapurys
315,Vao,NC,77.38,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
318,Curvelo,BR,66.11,scattered clouds,-18.7564,-44.4308,Pontal Plaza Hotel
319,Pyapon,MM,94.53,clear sky,16.2833,95.6833,Aung Naing Thu Motel
321,Vila Franca do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
322,Lucea,JM,71.46,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
324,Kavieng,PG,84.6,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
329,Man,CI,69.66,moderate rain,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
333,Garoowe,SO,77.52,scattered clouds,8.4054,48.4845,Curubo Hotel
335,Pattani,TH,87.51,overcast clouds,6.75,100.4167,Tobias Kleeberg
336,Huarmey,PE,67.06,overcast clouds,-10.0681,-78.1522,Hotel Miramar
339,Rafaela,AR,60.98,few clouds,-31.2503,-61.4867,Parra Hotel & Suites
341,Horqueta,PY,62.73,broken clouds,-23.3428,-57.0597,Hospedaje Heina
342,Hobyo,SO,83.57,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
343,St. George's,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
345,Seoul,KR,63.97,clear sky,37.5683,126.9778,롯데호텔 서울
348,Kieta,PG,83.91,light rain,-6.2167,155.6333,Uruna Bay Retreat
349,Rongcheng,CN,66.47,broken clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
351,Estelle,US,75.2,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
355,Rancho Palos Verdes,US,61.95,few clouds,33.7445,-118.387,Terranea Resort
